Location_clean,Deprem_Sayisi,Ort_Buyukluk,Max_Buyukluk,Ort_Derinlik
SOGUT-SIMAV (KÜTAHYA) [SOUTH EAST  0.8 KM],1,4.0,4.0,5.0
SOGUT-SIMAV (KÜTAHYA) [SOUTH EAST  1.3 KM],1,4.2,4.2,5.4
TERMAL (YALOVA) [NORTH WEST  0.8 KM],1,4.1,4.1,11.5
TURKIYE-IRAK SINIR BOLGESI,1,4.3,4.3,5.0
TURKGOZU-POSOF (ARDAHAN) [NORTH EAST  42.4 KM],1,4.6,4.6,28.0
TRABZON,1,4.9,4.9,10.0
TOPALLAR-AMASRA (BARTIN) [SOUTH WEST  1.5 KM],1,4.2,4.2,5.0
TOPALLAR-AMASRA (BARTIN) [NORTH EAST  0.5 KM],1,4.5,4.5,11.0
TOKUL-ASLANAPA (KÜTAHYA) [WEST 5.2 KM],1,5.7,5.7,16.0
TOKUL-ASLANAPA (KÜTAHYA) [WEST 4.3 KM],1,4.6,4.6,35.0
TOKUL-ASLANAPA (KÜTAHYA) [WEST 2.6 KM],1,5.3,5.3,29.0
TOKUL-ASLANAPA (KÜTAHYA) [SOUTH WEST  3.1 KM],1,5.6,5.6,18.0
TOKUL-ASLANAPA (KÜTAHYA) [SOUTH WEST  2.5 KM],1,4.5,4.5,34.0
TEPEPINAR-GEDIZ (KÜTAHYA) [SOUTH 1.0 KM],1,4.2,4.2,34.0
SOGUT-SIMAV (KÜTAHYA) [SOUTH EAST  1.5 KM],1,4.1,4.1,9.5
TEKMEN-OSMANCIK (ÇORUM) [NORTH WEST  1.4 KM],1,5.3,5.3,20.0
TARLAAGZI-AMASRA (BARTIN) [NORTH WEST  10.0 KM],1,4.4,4.4,33.0
SURMELI-TUZLUCA (IGDIR) [NORTH EAST  4.0 KM],1,4.3,4.3,77.0
SUMAKLI-GEDIZ (KÜTAHYA) [NORTH EAST  2.0 KM],1,4.7,4.7,33.0
SUDOSEGI-SIMAV (KÜTAHYA) [SOUTH EAST  1.8 KM],1,4.8,4.8,23.0
SUDOSEGI-SIMAV (KÜTAHYA) [EAST 3.2 KM],1,4.5,4.5,11.0
SOGUTCUK-ILGAZ (ÇANKIRI) [NORTH EAST  1.1 KM],1,5.6,5.6,10.0
SOGUT-SIMAV (KÜTAHYA) [SOUTH WEST  1.9 KM],1,4.2,4.2,2.7
SOGUT-SIMAV (KÜTAHYA) [SOUTH WEST  0.7 KM],1,4.4,4.4,2.6
